IIIF_Prent,Onderdeel,Onderdeel_AAT,Titel_Fabel,Aap,Ezel,Kip,Slang,Vos,Objecttype,Objecttype_AAT,Afmeting_optioneel,Kunstenaar1_VN,Kunstenaar1_AN,Kunstenaar1_AR,Kunstenaar1_RL,Kunstenaar2_VN,Kunstenaar2_AN,Kunstenaar2_AR,Kunstenaar2_RL,c:loi,c:loi (convoluut),o:loi,Korte titel,Pagina,Maker1_VN,Maker1_AN,Maker1_AR,Maker1_RL,Maker2_VN,Maker2_AN,Maker2_AR,Maker2_RL,Maker3_VN,Maker3_AN,Maker3_AR,Maker3_RL,Plaats_Uitgave,Datering,Manifest,Plaatskenmerk,PermalinkAnet_Boek
"https://anet.be/iiif/3b4b3d71b2bfbbb56a9168ded4d8f8aea6a98ebf/canvas/00000025/383,452,699,1059/max/0/default.jpg",Plaat (illustratie),300189216,De vos en de exter,,,,,1,Diepdruk,300041338,,,,,,,,,,c:lvd:13169509,,o:lvd:13263165,"Fabelen en vertelsels, in nederduitsche vaerzen gevolgd",[19],C.F. [Christian Fürchtegott],Gellert,a::920.562:1.3,Auteur,P. [Pieter],Meijer [Meyer],a::06.1574:1.3,Uitgever,G. [Gerrit],Warnars,a::06.7094:1.3,Uitgever,Amsteldam [Amsterdam],1784,https://anet.be/iiif/3b4b3d71b2bfbbb56a9168ded4d8f8aea6a98ebf/manifest,MAG-P 11.1303,https://anet.be/record/opacuantwerpen/c:lvd:13169509/N
"https://anet.be/iiif/3b4b3d71b2bfbbb56a9168ded4d8f8aea6a98ebf/canvas/00000072/1290,397,699,1107/max/0/default.jpg",Plaat (illustratie),300189216,De honigby en de hen,,,1,,,Diepdruk,300041338,,,,,,,,,,c:lvd:13169509,,o:lvd:13263165,"Fabelen en vertelsels, in nederduitsche vaerzen gevolgd",[70],C.F. [Christian Fürchtegott],Gellert,a::920.562:1.3,Auteur,P. [Pieter],Meijer [Meyer],a::06.1574:1.3,Uitgever,G. [Gerrit],Warnars,a::06.7094:1.3,Uitgever,Amsteldam [Amsterdam],1784,https://anet.be/iiif/3b4b3d71b2bfbbb56a9168ded4d8f8aea6a98ebf/manifest,MAG-P 11.1303,https://anet.be/record/opacuantwerpen/c:lvd:13169509/N
"https://anet.be/iiif/3b4b3d71b2bfbbb56a9168ded4d8f8aea6a98ebf/canvas/00000100/1313,409,717,1117/max/0/default.jpg",Plaat (illustratie),300189216,De groene ezel,,1,,,,Diepdruk,300041338,,,,,,,,,,c:lvd:13169509,,o:lvd:13263165,"Fabelen en vertelsels, in nederduitsche vaerzen gevolgd",[100],C.F. [Christian Fürchtegott],Gellert,a::920.562:1.3,Auteur,P. [Pieter],Meijer [Meyer],a::06.1574:1.3,Uitgever,G. [Gerrit],Warnars,a::06.7094:1.3,Uitgever,Amsteldam [Amsterdam],1784,https://anet.be/iiif/3b4b3d71b2bfbbb56a9168ded4d8f8aea6a98ebf/manifest,MAG-P 11.1303,https://anet.be/record/opacuantwerpen/c:lvd:13169509/N
"https://anet.be/iiif/3b4b3d71b2bfbbb56a9168ded4d8f8aea6a98ebf/canvas/00000113/1305,396,700,1118/max/0/default.jpg",Plaat (illustratie),300189216,De jonge end,,,1,,,Diepdruk,300041338,,,,,,,,,,c:lvd:13169509,,o:lvd:13263165,"Fabelen en vertelsels, in nederduitsche vaerzen gevolgd",[114],C.F. [Christian Fürchtegott],Gellert,a::920.562:1.3,Auteur,P. [Pieter],Meijer [Meyer],a::06.1574:1.3,Uitgever,G. [Gerrit],Warnars,a::06.7094:1.3,Uitgever,Amsteldam [Amsterdam],1784,https://anet.be/iiif/3b4b3d71b2bfbbb56a9168ded4d8f8aea6a98ebf/manifest,MAG-P 11.1303,https://anet.be/record/opacuantwerpen/c:lvd:13169509/N
"https://anet.be/iiif/c9400a138dfa858600e11f947d11c9f4cadf18e1/canvas/00000003/1568,338,1312,2133/max/0/default.jpg",Frontispice (illustraties),300083021,[Geen],1,,1,1,1,Diepdruk,300041338,,Philip,Tideman,a::920.76868:1,Illustrator,Jozef,Mulder,a::920.7778:1,Illustrator,c:lvd:13213428,,o:lvd:3345545,Fabularum Aesopiarum libri V,[III],Aug. Libertus,Phaedrus,a::920.5234:1.11,Fabulator,Petrus [Pieter] [Oudere],Burmannus [Burman],a::920.22761:1.2,Edit.,Henricum [Henricus],Wetstenium [Wetstein],a::06.1175:1.3,Uitgever,Amstelaedami [Amsterdam],1698,https://anet.be/iiif/c9400a138dfa858600e11f947d11c9f4cadf18e1/manifest,MAG-P 13.1454,https://anet.be/record/opacuantwerpen/c:lvd:13213428/N
"https://anet.be/iiif/db2b58edad180eaac8ac7f622875eeb7ff32ff85/canvas/00000006/137,220,1226,1689/max/0/default.jpg",Frontispice (illustraties),300083021,[Geen],1,,,1,2,Diepdruk,300041338,,Jan,"Vianen, van",a::920.76023:1.1,Illustrator,,,,,c:lvd:13213715,c:lvd:13213723,o:lvd:3346003,"Fables choisies, mises en vers",[VIII],[Jean],"Fontaine, de la",a::920.268:1.4,Auteur,Pierre [Pieter I],Mortier,a::06.1598:1.3,Uitgever,,,,,,1693,https://anet.be/iiif/db2b58edad180eaac8ac7f622875eeb7ff32ff85/manifest,MAG-P 11.1262,https://anet.be/record/opacuantwerpen/c:lvd:13213723/N
"https://anet.be/iiif/551dfa4eb497610743465c144d6489409b7c3371/canvas/00000057/2277,518,1198,831/max/0/default.jpg",Figuur (illustratie),300188975,Von einem Hahn und Edelstein,,,1,,,Diepdruk,300041338,,,,,,,,,,c:lvd:13213732,,o:lvd:3346018,"Esopi Leben und auserlesene Fabeln, mit deutlichen Erklärungen, nützlichen Jugend-Lehren und hierzu dienlichen saubern Kupfern",1,Esopus [Aesopus],,a::920.6711:1.4,Auteur,Peter Conrad [Peter Konrad],Monath,a::06.4576:1.3,Uitgever,,,,,Nürnberg [Neurenberg],1723,https://anet.be/iiif/551dfa4eb497610743465c144d6489409b7c3371/manifest,MAG-P 13.1457,https://anet.be/record/opacuantwerpen/c:lvd:13213732/N
"https://anet.be/iiif/551dfa4eb497610743465c144d6489409b7c3371/canvas/00000062/2294,579,1190,833/max/0/default.jpg",Figuur (illustratie),300188975,"Von dem Löwen, welcher mit dem Esel und Fuchs auf die Fagd gienge",,1,,,1,Diepdruk,300041338,,,,,,,,,,c:lvd:13213732,,o:lvd:3346018,"Esopi Leben und auserlesene Fabeln, mit deutlichen Erklärungen, nützlichen Jugend-Lehren und hierzu dienlichen saubern Kupfern",11,Esopus [Aesopus],,a::920.6711:1.4,Auteur,Peter Conrad [Peter Konrad],Monath,a::06.4576:1.3,Uitgever,,,,,Nürnberg [Neurenberg],1723,https://anet.be/iiif/551dfa4eb497610743465c144d6489409b7c3371/manifest,MAG-P 13.1457,https://anet.be/record/opacuantwerpen/c:lvd:13213732/N
"https://anet.be/iiif/551dfa4eb497610743465c144d6489409b7c3371/canvas/00000064/2277,481,1195,822/max/0/default.jpg",Figuur (illustratie),300188975,Von einem Bauern und einer Schlange,,,,1,,Diepdruk,300041338,,,,,,,,,,c:lvd:13213732,,o:lvd:3346018,"Esopi Leben und auserlesene Fabeln, mit deutlichen Erklärungen, nützlichen Jugend-Lehren und hierzu dienlichen saubern Kupfern",15,Esopus [Aesopus],,a::920.6711:1.4,Auteur,Peter Conrad [Peter Konrad],Monath,a::06.4576:1.3,Uitgever,,,,,Nürnberg [Neurenberg],1723,https://anet.be/iiif/551dfa4eb497610743465c144d6489409b7c3371/manifest,MAG-P 13.1457,https://anet.be/record/opacuantwerpen/c:lvd:13213732/N
"https://anet.be/iiif/551dfa4eb497610743465c144d6489409b7c3371/canvas/00000065/2310,481,1195,849/max/0/default.jpg",Figuur (illustratie),300188975,Von einem wilden Schwein und Esel,,1,,,,Diepdruk,300041338,,,,,,,,,,c:lvd:13213732,,o:lvd:3346018,"Esopi Leben und auserlesene Fabeln, mit deutlichen Erklärungen, nützlichen Jugend-Lehren und hierzu dienlichen saubern Kupfern",17,Esopus [Aesopus],,a::920.6711:1.4,Auteur,Peter Conrad [Peter Konrad],Monath,a::06.4576:1.3,Uitgever,,,,,Nürnberg [Neurenberg],1723,https://anet.be/iiif/551dfa4eb497610743465c144d6489409b7c3371/manifest,MAG-P 13.1457,https://anet.be/record/opacuantwerpen/c:lvd:13213732/N
"https://anet.be/iiif/551dfa4eb497610743465c144d6489409b7c3371/canvas/00000068/2299,487,1169,828/max/0/default.jpg",Figuur (illustratie),300188975,Von dem Udler und dem Fuchsen,,,,,4,Diepdruk,300041338,,,,,,,,,,c:lvd:13213732,,o:lvd:3346018,"Esopi Leben und auserlesene Fabeln, mit deutlichen Erklärungen, nützlichen Jugend-Lehren und hierzu dienlichen saubern Kupfern",23,Esopus [Aesopus],,a::920.6711:1.4,Auteur,Peter Conrad [Peter Konrad],Monath,a::06.4576:1.3,Uitgever,,,,,Nürnberg [Neurenberg],1723,https://anet.be/iiif/551dfa4eb497610743465c144d6489409b7c3371/manifest,MAG-P 13.1457,https://anet.be/record/opacuantwerpen/c:lvd:13213732/N
"https://anet.be/iiif/551dfa4eb497610743465c144d6489409b7c337/canvas/100000069/2283,552,1212,855/max/0/default.jpg",Figuur (illustratie),300188975,Von dem Raven und Fuchsen,,,,,1,Diepdruk,300041338,,,,,,,,,,c:lvd:13213732,,o:lvd:3346018,"Esopi Leben und auserlesene Fabeln, mit deutlichen Erklärungen, nützlichen Jugend-Lehren und hierzu dienlichen saubern Kupfern",25,Esopus [Aesopus],,a::920.6711:1.4,Auteur,Peter Conrad [Peter Konrad],Monath,a::06.4576:1.3,Uitgever,,,,,Nürnberg [Neurenberg],1723,https://anet.be/iiif/551dfa4eb497610743465c144d6489409b7c3371/manifest,MAG-P 13.1457,https://anet.be/record/opacuantwerpen/c:lvd:13213732/N
"https://anet.be/iiif/551dfa4eb497610743465c144d6489409b7c3371/canvas/00000070/2304,470,1200,833/max/0/default.jpg",Figuur (illustratie),300188975,Von einem verlebten Löwen,,1,,,,Diepdruk,300041338,,,,,,,,,,c:lvd:13213732,,o:lvd:3346018,"Esopi Leben und auserlesene Fabeln, mit deutlichen Erklärungen, nützlichen Jugend-Lehren und hierzu dienlichen saubern Kupfern",27,Esopus [Aesopus],,a::920.6711:1.4,Auteur,Peter Conrad [Peter Konrad],Monath,a::06.4576:1.3,Uitgever,,,,,Nürnberg [Neurenberg],1723,https://anet.be/iiif/551dfa4eb497610743465c144d6489409b7c3371/manifest,MAG-P 13.1457,https://anet.be/record/opacuantwerpen/c:lvd:13213732/N
"https://anet.be/iiif/551dfa4eb497610743465c144d6489409b7c3371/canvas/00000071/2294,481,1206,833/max/0/default.jpg",Figuur (illustratie),300188975,Von einem Esel und Hund,,1,,,,Diepdruk,300041338,,,,,,,,,,c:lvd:13213732,,o:lvd:3346018,"Esopi Leben und auserlesene Fabeln, mit deutlichen Erklärungen, nützlichen Jugend-Lehren und hierzu dienlichen saubern Kupfern",29,Esopus [Aesopus],,a::920.6711:1.4,Auteur,Peter Conrad [Peter Konrad],Monath,a::06.4576:1.3,Uitgever,,,,,Nürnberg [Neurenberg],1723,https://anet.be/iiif/551dfa4eb497610743465c144d6489409b7c3371/manifest,MAG-P 13.1457,https://anet.be/record/opacuantwerpen/c:lvd:13213732/N
